Time (s),Voltage(V)
2.8227862615973042e-08,0.25139
2.8235675115973046e-08,0.25314
2.824348761597305e-08,0.25369
2.825130011597304e-08,0.25346
2.825911261597303e-08,0.25319
2.8266925115973035e-08,0.25372
2.827473761597304e-08,0.25524
2.828255011597303e-08,0.25717
2.829036261597302e-08,0.25874
2.8298175115973024e-08,0.2591
2.8305987615973028e-08,0.25817
2.831380011597302e-08,0.25667
2.832161261597301e-08,0.25558
2.8329425115973013e-08,0.25577
2.8337237615973017e-08,0.25735
2.8345050115973008e-08,0.25959
2.8352862615972998e-08,0.26159
2.8360675115973002e-08,0.26246
2.8368487615973006e-08,0.26204
2.8376300115972997e-08,0.26109
2.8384112615972987e-08,0.26046
2.839192511597299e-08,0.26079
2.8399737615972995e-08,0.26209
2.8407550115972986e-08,0.26368
2.8415362615972977e-08,0.26488
2.842317511597298e-08,0.26516
2.8430987615972984e-08,0.26456
2.8438800115972975e-08,0.26378
2.8446612615972966e-08,0.26334
2.845442511597297e-08,0.26358
2.8462237615972973e-08,0.26445
2.8470050115972964e-08,0.26551
2.8477862615972955e-08,0.26652
2.848567511597296e-08,0.26714
2.8493487615972963e-08,0.26723
2.8501300115972953e-08,0.26708
2.8509112615972944e-08,0.26678
2.8516925115972948e-08,0.26663
2.852473761597295e-08,0.26684
2.8532550115972942e-08,0.26737
2.8540362615972933e-08,0.26819
2.8548175115972937e-08,0.26882
2.855598761597294e-08,0.26881
2.856380011597293e-08,0.26836
2.8571612615972922e-08,0.26772
2.8579425115972926e-08,0.26758
2.858723761597293e-08,0.26836
2.859505011597292e-08,0.26985
2.860286261597291e-08,0.27151
2.8610675115972915e-08,0.27243
2.861848761597292e-08,0.27204
2.862630011597291e-08,0.27079
2.86341126159729e-08,0.26937
2.8641925115972904e-08,0.26878
2.8649737615972908e-08,0.2694
2.86575501159729e-08,0.27076
2.866536261597289e-08,0.27218
2.8673175115972893e-08,0.27285
2.8680987615972897e-08,0.27243
2.8688800115972888e-08,0.27144
2.869661261597288e-08,0.27048
2.8704425115972882e-08,0.27022
2.8712237615972886e-08,0.27084
2.8720050115972877e-08,0.2718
2.8727862615972868e-08,0.27275
2.873567511597287e-08,0.27317
2.8743487615972875e-08,0.27283
2.8751300115972866e-08,0.27213
2.8759112615972857e-08,0.27147
2.876692511597286e-08,0.2714
2.8774737615972865e-08,0.27218
2.8782550115972855e-08,0.27323
2.8790362615972846e-08,0.27414
2.879817511597285e-08,0.2742
2.8805987615972854e-08,0.27306
2.8813800115972844e-08,0.27124
2.8821612615972835e-08,0.26955
2.882942511597284e-08,0.26892
2.8837237615972843e-08,0.26985
2.8845050115972833e-08,0.27157
2.8852862615972824e-08,0.27335
2.8860675115972828e-08,0.27422
2.8868487615972832e-08,0.27377
2.8876300115972823e-08,0.27263
2.8884112615972813e-08,0.27164
2.8891925115972817e-08,0.27154
2.889973761597282e-08,0.27254
2.8907550115972812e-08,0.27375
2.8915362615972802e-08,0.2746
2.8923175115972806e-08,0.27465
2.893098761597281e-08,0.27388
2.89388001159728e-08,0.27295
2.894661261597279e-08,0.27236
2.8954425115972795e-08,0.27246
2.89622376159728e-08,0.27324
2.897005011597279e-08,0.27406
2.897786261597278e-08,0.27477
2.8985675115972784e-08,0.27515
2.899348761597279e-08,0.27502
2.900130011597278e-08,0.27462
2.900911261597277e-08,0.27408
2.9016925115972774e-08,0.27374
2.9024737615972777e-08,0.27385
2.9032550115972768e-08,0.27416
2.904036261597276e-08,0.2746
2.9048175115972763e-08,0.27484
2.9055987615972767e-08,0.27446
2.9063800115972757e-08,0.27374
2.9071612615972748e-08,0.27304
2.9079425115972752e-08,0.27306
2.9087237615972756e-08,0.27404
2.9095050115972746e-08,0.27546
2.9102862615972737e-08,0.27669
2.911067511597274e-08,0.27709
2.9118487615972745e-08,0.27632
2.9126300115972735e-08,0.27496
2.9134112615972726e-08,0.27378
2.914192511597273e-08,0.27353
2.9149737615972734e-08,0.27431
2.9157550115972725e-08,0.27546
2.9165362615972715e-08,0.27633
2.917317511597272e-08,0.27645
2.9180987615972723e-08,0.27573
2.9188800115972714e-08,0.27471
2.9196612615972704e-08,0.27394
2.9204425115972708e-08,0.27388
2.9212237615972712e-08,0.2745
2.9220050115972703e-08,0.27535
2.9227862615972693e-08,0.27603
2.9235675115972697e-08,0.27624
2.92434876159727e-08,0.27585
2.9251300115972692e-08,0.27513
2.9259112615972683e-08,0.27453
2.9266925115972686e-08,0.27458
2.927473761597269e-08,0.27535
2.928255011597268e-08,0.27638
2.9290362615972672e-08,0.27705
2.9298175115972676e-08,0.27671
2.930598761597268e-08,0.27516
2.931380011597267e-08,0.27299
2.932161261597266e-08,0.27122
2.9329425115972665e-08,0.27087
2.933723761597267e-08,0.27217
2.934505011597266e-08,0.27429
2.935286261597265e-08,0.27611
2.9360675115972654e-08,0.27668
2.9368487615972658e-08,0.27585
2.937630011597265e-08,0.27442
2.938411261597264e-08,0.27348
2.9391925115972643e-08,0.27373
2.9399737615972647e-08,0.27495
2.9407550115972637e-08,0.27606
2.9415362615972628e-08,0.27628
2.9423175115972632e-08,0.27542
2.9430987615972636e-08,0.27397
2.9438800115972627e-08,0.27273
2.9446612615972617e-08,0.27181
2.945442511597262e-08,0.27042
2.9462237615972625e-08,0.26705
2.9470050115972616e-08,0.26005
2.9477862615972606e-08,0.2491
2.948567511597261e-08,0.23499
2.9493487615972614e-08,0.2193
2.9501300115972605e-08,0.20363
2.9509112615972595e-08,0.18857
2.95169251159726e-08,0.1739
2.9524737615972603e-08,0.159
2.9532550115972594e-08,0.1431
2.9540362615972585e-08,0.12647
2.954817511597259e-08,0.10968
2.9555987615972592e-08,0.0933
2.9563800115972583e-08,0.07753
2.9571612615972574e-08,0.0619
2.9579425115972578e-08,0.046
2.958723761597258e-08,0.02972
2.9595050115972572e-08,0.01305
2.9602862615972563e-08,-0.00333
2.9610675115972567e-08,-0.01917
2.961848761597257e-08,-0.03463
2.962630011597256e-08,-0.05012
2.9634112615972552e-08,-0.06618
2.9641925115972556e-08,-0.08266
2.964973761597256e-08,-0.09905
2.965755011597255e-08,-0.11515
2.966536261597254e-08,-0.13062
2.9673175115972545e-08,-0.14583
2.968098761597255e-08,-0.16123
2.968880011597254e-08,-0.17681
2.969661261597253e-08,-0.19205
2.9704425115972534e-08,-0.20564
2.9712237615972538e-08,-0.21636
2.972005011597253e-08,-0.22396
2.972786261597252e-08,-0.22859
2.9735675115972523e-08,-0.23121
2.9743487615972527e-08,-0.23289
2.9751300115972518e-08,-0.23431
2.975911261597251e-08,-0.23589
2.9766925115972512e-08,-0.23756
2.9774737615972516e-08,-0.23918
2.9782550115972507e-08,-0.24094
2.9790362615972497e-08,-0.24254
2.97981751159725e-08,-0.24368
2.9805987615972505e-08,-0.24422
2.9813800115972496e-08,-0.24413
2.9821612615972487e-08,-0.24398
2.982942511597249e-08,-0.24424
2.9837237615972494e-08,-0.24523
2.9845050115972485e-08,-0.24713
2.9852862615972476e-08,-0.24927
2.986067511597248e-08,-0.25095
2.9868487615972484e-08,-0.25191
2.9876300115972474e-08,-0.25219
2.9884112615972465e-08,-0.25248
2.989192511597247e-08,-0.25306
2.989973761597247e-08,-0.25392
2.990755011597246e-08,-0.25506
2.9915362615972454e-08,-0.256
2.992317511597246e-08,-0.25653
2.993098761597246e-08,-0.25683
2.993880011597245e-08,-0.25692
2.994661261597244e-08,-0.2571
2.995442511597245e-08,-0.25723
2.996223761597245e-08,-0.25723
2.997005011597244e-08,-0.25754
2.997786261597243e-08,-0.25826
2.9985675115972436e-08,-0.25936
2.999348761597244e-08,-0.26065
3.000130011597243e-08,-0.2614
3.000911261597242e-08,-0.26137
3.0016925115972425e-08,-0.26052
3.002473761597243e-08,-0.25935
3.003255011597242e-08,-0.25889
3.004036261597241e-08,-0.25944
3.0048175115972414e-08,-0.26065
3.005598761597242e-08,-0.26185
3.006380011597241e-08,-0.26216
3.00716126159724e-08,-0.26164
3.0079425115972403e-08,-0.26081
3.008723761597241e-08,-0.26042
3.00950501159724e-08,-0.26118
3.010286261597239e-08,-0.26275
3.011067511597239e-08,-0.26428
3.0118487615972396e-08,-0.26507
3.012630011597239e-08,-0.2647
3.013411261597238e-08,-0.26361
3.014192511597238e-08,-0.26256
3.0149737615972386e-08,-0.2621
3.0157550115972376e-08,-0.26261
3.016536261597237e-08,-0.26373
3.017317511597237e-08,-0.26486
3.0180987615972375e-08,-0.26562
3.0188800115972365e-08,-0.26567
3.0196612615972356e-08,-0.26511
3.020442511597236e-08,-0.26438
3.0212237615972364e-08,-0.2638
3.0220050115972354e-08,-0.26383
3.0227862615972345e-08,-0.26454
3.023567511597235e-08,-0.26556
3.024348761597235e-08,-0.26646
3.0251300115972344e-08,-0.26674
3.0259112615972334e-08,-0.26631
3.026692511597234e-08,-0.26574
3.027473761597234e-08,-0.26549
3.028255011597233e-08,-0.26591
3.029036261597232e-08,-0.26683
3.029817511597233e-08,-0.26749
3.030598761597233e-08,-0.26729
3.031380011597232e-08,-0.26613
3.032161261597231e-08,-0.26454
3.0329425115972316e-08,-0.26359
3.033723761597232e-08,-0.26386
3.034505011597231e-08,-0.26519
3.03528626159723e-08,-0.26692
3.0360675115972305e-08,-0.26813
3.036848761597231e-08,-0.2684
3.03763001159723e-08,-0.26798
3.038411261597229e-08,-0.26741
3.0391925115972295e-08,-0.26735
3.03997376159723e-08,-0.26786
3.040755011597229e-08,-0.2685
3.041536261597228e-08,-0.26892
3.0423175115972284e-08,-0.26902
3.043098761597229e-08,-0.26884
3.043880011597228e-08,-0.26861
3.044661261597227e-08,-0.26836
3.045442511597227e-08,-0.26823
3.0462237615972277e-08,-0.26824
3.047005011597227e-08,-0.26844
3.047786261597226e-08,-0.26906
3.048567511597226e-08,-0.27015
3.0493487615972266e-08,-0.27117
3.0501300115972256e-08,-0.27158
3.050911261597225e-08,-0.271
3.051692511597225e-08,-0.26976
3.0524737615972255e-08,-0.26855
3.0532550115972246e-08,-0.26804
3.0540362615972236e-08,-0.26855
3.054817511597224e-08,-0.26976
3.0555987615972244e-08,-0.27064
3.0563800115972235e-08,-0.27059
3.0571612615972225e-08,-0.26966
3.057942511597223e-08,-0.26869
3.058723761597223e-08,-0.26845
3.0595050115972224e-08,-0.26927
3.0602862615972214e-08,-0.27071
3.061067511597222e-08,-0.27204
3.061848761597222e-08,-0.27231
3.062630011597221e-08,-0.27149
3.0634112615972204e-08,-0.27012
3.064192511597221e-08,-0.26911
3.064973761597221e-08,-0.26895
3.06575501159722e-08,-0.26968
3.066536261597219e-08,-0.27076
3.0673175115972197e-08,-0.27182
3.06809876159722e-08,-0.27216
3.068880011597219e-08,-0.2718
3.069661261597218e-08,-0.27093
3.0704425115972186e-08,-0.27006
3.071223761597219e-08,-0.26957
3.072005011597218e-08,-0.26975
3.072786261597217e-08,-0.27042
3.0735675115972175e-08,-0.27146
3.074348761597218e-08,-0.27208
3.075130011597217e-08,-0.27201
3.075911261597216e-08,-0.27132
3.0766925115972164e-08,-0.27053
3.077473761597217e-08,-0.27027
3.078255011597216e-08,-0.27085
3.079036261597215e-08,-0.27175
3.079817511597215e-08,-0.27245
3.080598761597216e-08,-0.27201
3.081380011597215e-08,-0.27053
3.082161261597214e-08,-0.26875
3.082942511597214e-08,-0.26767
3.0837237615972146e-08,-0.26796
3.0845050115972137e-08,-0.2695
3.085286261597213e-08,-0.27124
3.086067511597213e-08,-0.27249
3.0868487615972135e-08,-0.27253
3.0876300115972126e-08,-0.27184
3.0884112615972116e-08,-0.27116
3.089192511597212e-08,-0.27104
3.0899737615972124e-08,-0.2716
3.0907550115972115e-08,-0.27246
3.0915362615972106e-08,-0.27293
3.092317511597211e-08,-0.27307
3.0930987615972113e-08,-0.27271
3.0938800115972104e-08,-0.27226
3.0946612615972095e-08,-0.27195
3.09544251159721e-08,-0.27176
3.09622376159721e-08,-0.27178
3.097005011597209e-08,-0.27212
3.0977862615972084e-08,-0.27274
3.098567511597209e-08,-0.27384
3.099348761597209e-08,-0.27478
3.100130011597208e-08,-0.27513
3.100911261597207e-08,-0.27462
3.101692511597208e-08,-0.27342
3.102473761597208e-08,-0.27227
3.103255011597207e-08,-0.27192
3.104036261597206e-08,-0.27244
3.1048175115972066e-08,-0.27361
3.105598761597207e-08,-0.27439
3.106380011597206e-08,-0.27424
3.107161261597205e-08,-0.27332
3.1079425115972055e-08,-0.27235
3.108723761597206e-08,-0.27221
3.109505011597205e-08,-0.27317
3.110286261597204e-08,-0.27466
3.1110675115972044e-08,-0.27592
3.111848761597205e-08,-0.27606
3.112630011597204e-08,-0.27506
3.113411261597203e-08,-0.27357
3.114192511597203e-08,-0.27246
3.114973761597204e-08,-0.27235
3.115755011597203e-08,-0.27314
3.116536261597202e-08,-0.27428
3.117317511597202e-08,-0.27526
3.1180987615972026e-08,-0.27557
3.118880011597202e-08,-0.27518
3.119661261597201e-08,-0.27439
3.120442511597201e-08,-0.27356
3.1212237615972015e-08,-0.27315
3.1220050115972006e-08,-0.27325
3.1227862615971997e-08,-0.27381
3.1235675115972e-08,-0.27458
3.1243487615972004e-08,-0.27507
3.1251300115971995e-08,-0.27499
3.1259112615971986e-08,-0.27442
3.126692511597199e-08,-0.27377
3.1274737615971994e-08,-0.27363
3.1282550115971984e-08,-0.27409
3.1290362615971975e-08,-0.27485
3.129817511597198e-08,-0.27526
3.130598761597198e-08,-0.27465
3.1313800115971973e-08,-0.2731
3.1321612615971964e-08,-0.27128
3.132942511597197e-08,-0.27015
3.133723761597197e-08,-0.27039
3.134505011597196e-08,-0.27173
3.135286261597195e-08,-0.27339
3.136067511597196e-08,-0.27453
3.136848761597196e-08,-0.27462
3.137630011597195e-08,-0.274
3.138411261597194e-08,-0.27325
3.1391925115971946e-08,-0.27293
3.139973761597195e-08,-0.27321
3.140755011597194e-08,-0.27369
3.141536261597193e-08,-0.27406
3.1423175115971935e-08,-0.27421
3.143098761597194e-08,-0.27409
3.143880011597193e-08,-0.27389
3.144661261597192e-08,-0.27358
3.1454425115971924e-08,-0.27326
3.146223761597193e-08,-0.27306
3.147005011597192e-08,-0.2731
3.147786261597191e-08,-0.2737
3.1485675115971913e-08,-0.27477
3.149348761597192e-08,-0.27571
3.150130011597191e-08,-0.276
3.15091126159719e-08,-0.27514
3.15169251159719e-08,-0.27356
3.1524737615971906e-08,-0.27211
3.15325501159719e-08,-0.27146
3.154036261597189e-08,-0.27196
3.154817511597189e-08,-0.27309
3.1555987615971896e-08,-0.27388
3.1563800115971886e-08,-0.27384
3.157161261597188e-08,-0.27298
3.157942511597188e-08,-0.27216
3.1587237615971885e-08,-0.27211
3.1595050115971875e-08,-0.27289
3.1602862615971866e-08,-0.27413
3.161067511597187e-08,-0.27501
3.1618487615971874e-08,-0.27494
3.1626300115971864e-08,-0.27407
3.1634112615971855e-08,-0.27289
3.164192511597186e-08,-0.2721
3.164973761597186e-08,-0.27197
3.1657550115971854e-08,-0.2723
3.1665362615971844e-08,-0.27289
3.167317511597185e-08,-0.27344
3.168098761597185e-08,-0.27373
3.168880011597184e-08,-0.27374
3.1696612615971833e-08,-0.27341
3.170442511597184e-08,-0.27288
3.171223761597184e-08,-0.27232
3.172005011597183e-08,-0.27206
3.172786261597182e-08,-0.27242
3.1735675115971826e-08,-0.2733
3.174348761597183e-08,-0.27407
3.175130011597182e-08,-0.27424
3.175911261597181e-08,-0.27361
3.1766925115971815e-08,-0.2726
3.177473761597182e-08,-0.27196
3.178255011597181e-08,-0.27216
3.17903626159718e-08,-0.27301
3.1798175115971805e-08,-0.27358
3.180598761597181e-08,-0.27286
3.18138001159718e-08,-0.27076
3.182161261597179e-08,-0.26825
3.1829425115971794e-08,-0.26668
3.18372376159718e-08,-0.26686
3.184505011597179e-08,-0.26816
3.185286261597178e-08,-0.26862
3.186067511597178e-08,-0.26589
3.186848761597179e-08,-0.25832
3.187630011597178e-08,-0.24614
3.188411261597177e-08,-0.23102
3.189192511597177e-08,-0.21499
3.1899737615971776e-08,-0.19955
3.1907550115971767e-08,-0.18507
3.191536261597176e-08,-0.17102
3.192317511597176e-08,-0.15674
3.1930987615971765e-08,-0.14169
3.1938800115971756e-08,-0.12599
3.1946612615971746e-08,-0.10999
3.195442511597175e-08,-0.09381
3.1962237615971754e-08,-0.0775
3.1970050115971745e-08,-0.06105
3.1977862615971735e-08,-0.04459
3.198567511597174e-08,-0.02851
3.199348761597174e-08,-0.0129
3.2001300115971734e-08,0.00228
3.2009112615971725e-08,0.01742
3.201692511597173e-08,0.03306
3.202473761597173e-08,0.04942
3.203255011597172e-08,0.06617
3.2040362615971714e-08,0.08271
3.204817511597172e-08,0.09834
3.205598761597172e-08,0.11295
3.206380011597171e-08,0.12704
3.20716126159717e-08,0.1415
3.2079425115971707e-08,0.15717
3.208723761597171e-08,0.17413
3.20950501159717e-08,0.19136
3.210286261597169e-08,0.20723
3.2110675115971696e-08,0.21979
3.21184876159717e-08,0.22796
3.212630011597169e-08,0.23197
3.213411261597168e-08,0.23313
3.2141925115971685e-08,0.23349
3.214973761597169e-08,0.23463
3.215755011597168e-08,0.23708
3.216536261597167e-08,0.24039
3.2173175115971674e-08,0.24334
3.218098761597168e-08,0.24499
3.218880011597167e-08,0.24533
3.219661261597166e-08,0.24504
3.220442511597166e-08,0.24524
3.221223761597167e-08,0.24656
3.222005011597166e-08,0.24883
3.222786261597165e-08,0.25137
3.223567511597165e-08,0.25317
3.2243487615971656e-08,0.25375
3.225130011597165e-08,0.25355
3.225911261597164e-08,0.25327
3.226692511597164e-08,0.25376
3.2274737615971645e-08,0.25524
3.2282550115971636e-08,0.25713
3.2290362615971627e-08,0.25869
3.229817511597163e-08,0.25906
3.2305987615971634e-08,0.25815
3.2313800115971625e-08,0.25667
3.2321612615971616e-08,0.25557
3.232942511597162e-08,0.25575
3.2337237615971623e-08,0.25733
3.2345050115971614e-08,0.25956
3.2352862615971605e-08,0.26157
3.236067511597161e-08,0.26244
3.236848761597161e-08,0.26201
3.23763001159716e-08,0.26105
3.2384112615971594e-08,0.26039
3.23919251159716e-08,0.26072
3.23997376159716e-08,0.26203
3.240755011597159e-08,0.26363
3.241536261597158e-08,0.26485
3.242317511597159e-08,0.26513
3.243098761597159e-08,0.26451
3.243880011597158e-08,0.26372
3.244661261597157e-08,0.26328
3.2454425115971576e-08,0.26356
3.246223761597158e-08,0.26446
3.247005011597157e-08,0.26556
3.247786261597156e-08,0.26658
3.2485675115971565e-08,0.26717
3.249348761597157e-08,0.26722
3.250130011597156e-08,0.26705
3.250911261597155e-08,0.26676
3.2516925115971554e-08,0.26663
3.252473761597156e-08,0.26688
3.253255011597155e-08,0.26744
3.254036261597154e-08,0.26825
3.2548175115971543e-08,0.26886
3.255598761597155e-08,0.26883
3.256380011597154e-08,0.26835
3.257161261597153e-08,0.26771
3.257942511597153e-08,0.26758
3.2587237615971536e-08,0.26838
3.259505011597153e-08,0.26989
3.260286261597152e-08,0.27157
3.261067511597152e-08,0.2725
3.2618487615971525e-08,0.27212
3.2626300115971516e-08,0.27087
3.263411261597151e-08,0.26945
3.264192511597151e-08,0.26884
3.2649737615971515e-08,0.26945
3.2657550115971505e-08,0.27079
3.2665362615971496e-08,0.27222
3.26731751159715e-08,0.27292
3.2680987615971504e-08,0.27252
3.2688800115971494e-08,0.27154
3.2696612615971485e-08,0.27059
3.270442511597149e-08,0.27031
3.271223761597149e-08,0.27092
3.2720050115971483e-08,0.27186
3.2727862615971474e-08,0.2728
3.273567511597148e-08,0.27319
3.274348761597148e-08,0.27282
3.275130011597147e-08,0.27208
3.275911261597146e-08,0.27141
3.276692511597147e-08,0.27137
3.277473761597147e-08,0.2722
3.278255011597146e-08,0.2733
3.279036261597145e-08,0.27424
3.2798175115971456e-08,0.27431
3.280598761597146e-08,0.27314
3.281380011597145e-08,0.27129
3.282161261597144e-08,0.26957
3.2829425115971445e-08,0.26893
3.283723761597145e-08,0.26985
3.284505011597144e-08,0.27156
3.285286261597143e-08,0.27334
3.2860675115971434e-08,0.27422
3.286848761597144e-08,0.27378
3.287630011597143e-08,0.27267
3.288411261597142e-08,0.27169
3.2891925115971424e-08,0.27159
3.289973761597143e-08,0.27258
3.290755011597142e-08,0.27375
3.291536261597141e-08,0.27457
3.292317511597141e-08,0.27462
3.2930987615971417e-08,0.27385
3.293880011597141e-08,0.27295
3.29466126159714e-08,0.27237
3.29544251159714e-08,0.27246
3.2962237615971406e-08,0.27322
3.2970050115971396e-08,0.27403
3.297786261597139e-08,0.27474
3.298567511597139e-08,0.27514
3.2993487615971395e-08,0.27504
3.3001300115971385e-08,0.27465
3.3009112615971376e-08,0.2741
3.301692511597138e-08,0.27375
3.3024737615971384e-08,0.27383
3.3032550115971375e-08,0.27412
3.3040362615971365e-08,0.27455
3.304817511597137e-08,0.27479
3.305598761597137e-08,0.27442
3.3063800115971364e-08,0.2737
3.3071612615971354e-08,0.27303
3.307942511597136e-08,0.27307
3.308723761597136e-08,0.27407
3.309505011597135e-08,0.27549
3.3102862615971343e-08,0.27673
3.311067511597135e-08,0.27711
3.311848761597135e-08,0.27632
3.312630011597134e-08,0.27496
3.313411261597133e-08,0.27376
3.3141925115971336e-08,0.27351
3.314973761597134e-08,0.2743
3.315755011597133e-08,0.27545
3.316536261597132e-08,0.27631
3.3173175115971326e-08,0.27642
3.318098761597133e-08,0.2757
3.318880011597132e-08,0.27471
3.319661261597131e-08,0.27395
3.3204425115971315e-08,0.27392
3.321223761597132e-08,0.27454
3.322005011597131e-08,0.27538
3.32278626159713e-08,0.27603
3.3235675115971304e-08,0.27622
3.324348761597131e-08,0.27581
3.32513001159713e-08,0.27511
3.325911261597129e-08,0.27453
3.326692511597129e-08,0.2746
3.32747376159713e-08,0.27539
3.328255011597129e-08,0.27642
3.329036261597128e-08,0.27707
3.329817511597128e-08,0.27672
3.3305987615971286e-08,0.27518
3.3313800115971277e-08,0.27302
3.332161261597127e-08,0.27127
3.332942511597127e-08,0.27094
3.3337237615971275e-08,0.27223
3.3345050115971266e-08,0.27433
3.3352862615971256e-08,0.27612
3.336067511597126e-08,0.27667
3.3368487615971264e-08,0.27583
3.3376300115971255e-08,0.27442
